# SEU Times,,,,,,,,,
#Time, Latitude (deg), Longitude (deg), Altitude (km), GEO_x (km), GEO_y (km), GEO_z (km), GEO_vx (km/s), GEO_vy (km/s), GEO_vz (km/s)
06/03/2014 4:05,56.616,-52.686,367.11,2254.9,-2958.444,5609.012,-2.354342,6.364597,4.041416
08/03/2014 12:03,-65.391,149.243,1321.44,-2761.596,1643.44,-6977.434,-6.132937,0.882885,3.050244
10/03/2014 23:34,-29.686,176.868,1342.07,-6701.476,366.736,-3804.833,3.03243,-0.9284,-6.119234
12/03/2014 18:29,-45.359,-106.488,1448.3,-1562.96,-5280.461,-5546.016,2.395287,4.134626,-4.819752
14/03/2014 12:57,25.644,-40.399,931.15,5020.845,-4272.93,3146.543,3.284377,-1.754408,-6.279376
16/03/2014 20:38,-39.37,16.463,846.49,5362.485,1584.694,-4561.145,3.673675,2.226003,6.00824
18/03/2014 5:34,48.124,-102.583,332.83,-977.626,-4379.891,4973.881,2.762075,5.286968,5.23482
20/03/2014 12:19,35.016,147.731,330.04,-4650.304,2936.288,3828.66,3.226982,-3.368491,6.424986
22/03/2014 22:51,72.631,128.362,696.11,-1314.28,1660.459,6729.453,-6.928444,2.61499,-1.417469
24/03/2014 13:52,12.827,112.335,341.92,-2490.427,6061.722,1482.71,-0.025016,-2.053154,7.656438
26/03/2014 11:01,27.372,-35.421,1225.65,5505.961,-3915.863,3478.447,3.35172,-1.463502,-5.97457
28/03/2014 6:27,-80.863,112.708,1056.69,-457.031,1092.149,-7318.845,-5.896781,-4.060558,0.313174
30/03/2014 13:09,-63.811,-52.136,1207.16,2059.413,-2648.868,-6783.689,-1.990171,6.239566,-2.52026
01/04/2014 22:58,10.445,135.42,1428.5,-5468.807,5389.166,1407.722,-1.352614,0.58344,-6.648869
03/04/2014 0:08,64.007,-43.629,620.75,2225.745,-2121.67,6267.996,-2.77145,6.105126,3.620947
05/04/2014 18:48,39.897,19.503,488.16,4971.919,1760.944,4382.341,-4.718471,-0.39056,6.153909
07/04/2014 19:41,-43.875,-176.648,1177.01,-5444.219,-318.915,-5213.878,5.199272,-0.83906,-4.686364
09/04/2014 21:16,-28.975,151.89,1249.84,-5889.946,3146.249,-3676.896,2.906421,-2.426028,-5.86435
11/04/2014 17:46,-26.458,-159.861,1227.05,-6395.925,-2345.573,-3371.23,3.513996,0.50478,-6.036199
13/04/2014 19:25,-25.686,171.17,1183.61,-6737.347,1046.57,-3260.745,3.283083,-1.253376,-6.106485
15/04/2014 12:26,-14.248,-89.715,1236.18,36.752,-7381.256,-1863.849,0.589411,2.115763,-6.641104
17/04/2014 13:28,75.615,106.519,1130.13,-531.802,1793.154,7250.864,-2.675833,-6.293731,1.876532
